communityname,state,countyCode,communityCode,autoTheftPerPop,PctKidsBornNeverMar,PctKids2Par,PctFam2Par,PctTeen2Par,PctRecImmig10,PctPersDenseHous,PctForeignBorn,PctRecImmig8,PopDens,PctHousLess3BR,PctRecImmig5,FemalePctDiv,PctNotSpeakEnglWell,PctPersOwnOccup,PctRecentImmig,TotalPctDiv,PctSpeakEnglOnly,PctYoungKids2Par,pctWPubAsst,PctLargHouseFam,PctHousOwnOcc,pctWInvInc,MalePctDivorce,PctUnemployed,PctVacantBoarded,MedNumBR,PctUsePubTrans,RacialMatchCommPol,PctNotHSGrad,LemasPctOfficDrugUn
EdenPrairiecity,MN,53,18116,165.32,1.28,87.03,85.74,80.98,1.1,0.96,2.59,0.91,1171.4,37.35,0.72,10.02,0.23,78.95,0.61,8.58,95.62,91.75,2.5,2.66,72.53,57.34,7.04,3.06,0.31,3,1.43,,3,0
Greenvillecity,NC,,,603.61,9.77,55.04,60.58,59.73,0.68,3.64,1.75,0.49,2409,55.03,0.46,11.16,0.43,45.51,0.29,9.47,96.1,64.62,8.85,4.72,42.12,34.55,7.53,6.63,1.35,2,1.22,,20.99,0
KeyWestcity,FL,,,1380.3,1.99,73.2,76.31,78.33,2.82,5.5,9.31,2.13,4378,65.73,1.56,16.99,3.64,41.27,1.2,15.89,78.79,85.14,5.32,3.51,42.06,38.07,14.95,2.86,1.84,2,1.67,,20.15,0
SanJacintocity,CA,,,475.44,3.93,63.91,68.18,79.55,5.71,10.86,14.66,4.75,1477.4,69.57,3.87,15.09,6.72,62.04,2.33,12.61,73.28,77.36,15.74,10.17,67.17,32.35,9.87,8.24,0.73,2,0.48,,39.28,0
Greenwichtown,CT,1,33620,237.66,1.03,83.61,84.46,84,7.91,1.34,17.45,6.92,1178.4,32.15,5.75,8.98,2.6,72.03,4.64,7.73,82.25,96.11,2.38,4.45,67.81,66.96,6.28,3.8,0.83,3,15.77,87.93,11.26,1.27
Sacramentocity,CA,,,2097.94,5.53,58.39,61.53,64.32,7.07,8.54,13.69,4.65,3702.5,57.08,3.31,17.85,6.07,52.57,2.24,15.82,76.21,70.08,16.16,8.5,51.32,37.13,13.6,7.6,6.06,2,4.1,83.01,23.06,8.68
Lakelandcity,FL,,,1953.2,4.84,56.58,63.38,66.17,1.26,3.4,4.27,0.84,1774.5,60.9,0.69,14.73,0.92,59.76,0.43,13.44,93.55,70.65,6.44,3.87,59.04,40.27,11.86,6.59,1.74,2,1.24,85.56,26.03,9.64
Scrantoncity,PA,69,69000,300.88,2.25,68.06,70.47,74.45,0.72,1.18,2.55,0.6,3131.4,44.5,0.4,10.41,0.57,59.12,0.28,9.61,93.41,76.85,9.79,5.18,53.67,42.5,8.61,6.55,2.68,3,3.02,97.89,29.59,5.71
Centertownship,PA,7,12016,54.92,0.64,84.13,85.6,90.61,0.24,0.75,2.62,0.18,673.2,30.35,0.18,7.68,0.23,84.42,0.18,7.18,94.15,93.62,3.99,2.95,81.21,51.21,6.64,4.72,1.69,3,0.33,,18.18,0
Joplincity,MO,,,385.99,1.78,68.16,70.05,76.09,0.62,1.74,1.42,0.52,1331.5,57.54,0.45,15.56,0.45,62.74,0.24,13.88,96.95,74.08,10.32,2.77,60.38,37.98,11.87,5.98,2.48,2,0.23,,27.03,0
Sparkscity,NV,,,167.58,1.87,71.08,72.94,76.66,3.87,5.07,7.94,2.9,3615.7,51.39,2.16,18.63,2.22,57.38,1.27,16.58,88.2,86.68,3.2,4.53,54.16,32.97,14.41,4.64,1.55,2,2.77,,17.7,0
Colliervilletown,TN,,,166.26,2.91,85,87.31,83.63,0.53,2.57,1.3,0.33,1121.5,15.65,0.27,8.69,0.41,86.59,0.27,7.03,97.3,96.73,2.88,5.47,83.54,39.46,5.25,2.65,1.09,3,0,,16.88,0
CityofOrangetownship,NJ,13,13045,2945.82,12.66,44.05,49.48,49.13,11.62,8.77,20.8,8.65,13083.7,72.92,5.48,16.62,5.75,34.25,3.74,14.8,79.1,67.57,11.73,10.7,28.14,25.84,12.6,9.74,7.72,2,19.92,,34.43,0
SouthGatecity,CA,,,1706.2,7.4,66.2,72.21,77.47,22.32,42.18,49.3,16.2,11329.3,79.59,12.18,11.93,25.71,49.35,7.77,9.33,21.16,76.63,12.2,25.34,48.53,19.78,6.67,10.81,1.16,2,8.02,,59.05,0
FortWorthcity,TX,,,1304.96,4.94,62.53,68.71,70.5,4.7,7.88,9,3.09,1537.2,58.08,2.04,16.63,4.82,57.17,1.28,15.02,80.59,79.11,6.18,7.84,54.53,34.15,13.32,7.43,13.05,2,1.65,,28.38,0
Slidellcity,LA,,,750.32,2.01,76.23,78.86,77.38,0.76,2.14,2.3,0.61,2491.1,21.39,0.34,11.61,0.21,76.12,0.23,9.74,95.33,87.83,4.49,4.67,75.22,43.4,7.64,5.46,8.24,3,0.67,,19.36,0
Scottsborocity,AL,,,237.71,1.41,72.2,76.23,71.61,0.24,2.1,0.56,0.12,286.5,41.68,0.09,12.83,0.33,67.65,0,11.39,97.82,90.91,9.5,2.49,65.83,32.47,9.68,4.66,1.17,3,0,,32.53,0
Yanktoncity,SD,135,73060,145.39,1.91,77.56,77.28,78.69,0.22,1.35,0.81,0.08,1655.8,51.94,0.04,8.92,0.58,69.08,0.04,8.8,94.79,85.09,4.57,3.71,61,44.66,8.66,2.18,0,2,0,,20.81,0
Miramarcity,FL,,,886.75,2.51,72.6,75.62,75.61,6.88,7.18,20.06,5.09,1322.6,47.15,3.09,14.59,2.93,78.62,1.97,12.42,77.56,84.03,3.49,5.61,77.78,35.88,10,4.79,1.89,3,0.9,,22.05,0
Oceantownship,NJ,25,54270,186.9,1.13,82.01,81.9,82.14,4.63,1.52,10.72,3.78,2190.2,41.77,2.97,10.47,1.88,72.93,2.09,8.6,86.09,88.91,2.61,4.79,65.3,52.57,6.58,4.61,0.4,3,3.56,,13.96,0
Harvardtown,MA,27,28950,7.79,0.58,91.11,91.25,92.56,1.71,3.29,4.53,1.37,451.5,29.32,1.12,5.11,0.23,43.91,0.73,5.49,89.64,95.68,1.65,4.36,46.79,55.38,5.75,1.66,0.61,3,13.49,,2.93,0
Okmulgeecity,OK,,,505.2,4.87,54.12,59.73,63.46,0.39,3.3,0.96,0.39,1017,54.44,0.39,15.26,0.2,63.71,0.33,13.67,96.36,57.26,12.36,4.92,64.59,27.36,11.85,10.72,4.99,2,0,,31.18,0
NewportBeachcity,CA,,,492.8,0.92,77.12,77.69,81.13,2.83,1.62,9.07,2.32,4589.7,51.8,1.65,16.08,0.99,60.89,1.04,14.45,89.36,91.37,2.07,1.99,55.76,57.59,12.77,3.01,0.3,2,0.95,88.97,4.69,3.36
Martinezcity,CA,,,420.07,2.35,70.37,74.1,73.09,3.88,2.64,9.23,2.82,2740.2,41.79,2.27,17.62,1.51,70.48,1.39,15.45,86.93,86.15,5.03,3.22,66.73,50.08,13.22,4.07,1.54,3,6.08,,11.68,0
Prattvillecity,AL,,,180.98,2.18,73.73,79.08,72.77,0.09,2.55,1.42,0.09,1027.6,20.45,0.09,11.08,0.17,76.84,0.06,9.48,97.62,90.28,5.63,4.79,77.32,37.38,7.7,5.36,2.23,3,0.15,,25,0
Montclairtownship,NJ,13,47500,1128.03,4.1,71.24,73.15,73.25,4.36,2.05,11.08,3.66,5776.7,45.86,2.68,12.41,0.77,64.67,1.57,10.52,89,89.87,3.42,5.91,55.85,54.17,8.2,5.41,3.63,3,19.72,84.89,13.03,4.08
Hollandcity,MI,139,38640,170.67,3.08,75.88,77.48,82.31,4.49,4.34,7.81,3,2853.3,42.69,2.33,9.23,3.77,67.54,1.55,8.06,82.42,85.6,7.69,7.33,65.54,48.95,6.73,5.32,0.22,3,0.66,,26.19,0
UpperArlingtoncity,OH,49,79002,44.15,0.19,87.28,85.98,85.46,1.47,0.27,4.83,1.13,3421.8,24.21,0.76,9.35,0.61,86.34,0.71,7.3,93.39,95.26,1.81,2.4,81.72,74.53,4.84,1.87,0,3,1.7,,4.29,0
Hopkinsvillecity,KY,,,259.83,7.24,56.13,63.19,59.42,0.55,3.45,1.57,0.5,1415.4,46.71,0.42,16.11,0.33,57.35,0.32,13.58,96.92,74.54,11.34,4.55,57.29,29.58,10.48,9.38,5.76,3,0.05,,30.6,0
Glendoracity,CA,,,365.77,1.66,77.73,80.92,80.24,4.36,5.65,12.52,3.41,2371.5,31.89,2.24,12.44,2.4,76.01,1.43,10.68,81.86,89.54,5.34,6.66,73.94,45.18,8.77,4.3,0.55,3,1.39,,16.32,0
GreenRivercity,WY,,,95.98,0.83,82.96,83.58,83.56,0.16,3.67,2.3,0.16,1094.6,33.56,0.11,9.75,0.81,75.31,0.06,10.15,92.79,86.1,5.14,8.18,71.64,38.34,10.54,5.29,0.75,3,13.87,,16.84,0
Sumptertownship,MI,163,77360,545.13,1.9,71.41,76.61,80.14,0.2,3.98,1.33,0.14,279.8,40.98,0.05,12.84,0.08,91.23,0,12.2,96.91,89.9,5.47,6.13,91.35,27.81,11.55,9.78,2.52,3,0,,31.06,0
Bellinghamtown,MA,21,4930,130.52,1.15,81.85,83.68,86.14,0.91,0.95,3.89,0.86,776.3,29.87,0.5,9.81,0.9,85.63,0.43,8.13,89.01,97.28,5.68,4.95,81.84,44.21,6.39,6.41,2.44,3,2.13,,19,0
FortDodgecity,IA,187,91370,232.15,2.3,70.04,70.86,72.07,0.13,0.97,1.23,0.03,1737.3,48.3,0.03,11.74,0.39,69.92,0.03,10.87,96.2,78.72,7.79,3.22,64.73,42.77,9.81,5.39,5.35,3,0.72,,21.71,0
MountOlivetownship,NJ,27,49080,145.15,1.12,84.22,84.58,83.24,3.44,1.37,8.79,2.92,674.7,53.15,2.12,10.73,1.69,63.49,1.35,9.67,90.06,92.58,1.75,3.58,52.52,50.73,8.58,3.64,1.08,2,1.23,,11.38,0
Hanoverborough,PA,133,32448,140.36,1.31,73.9,74.89,76.17,0.22,0.82,1.03,0.22,3807.6,44.37,0.18,11.8,0.2,59.42,0.12,11.06,96.87,81.76,5.53,2.19,55.15,49.31,10.17,3.35,1.63,3,0.51,,34.12,0
Nicevillecity,FL,,,49.81,0.72,77.58,80.66,88.08,1.06,1.73,5.04,0.64,957.3,34.32,0.52,11.53,0.83,69.22,0.41,10.31,91.05,81.3,4.15,2.76,66.71,45.13,9.08,5.82,0.94,3,0.38,,14.19,0
Westlakecity,OH,35,83622,196.7,0.32,89.17,89,90.77,1.75,0.61,6.82,1.38,1640.4,40.04,1.05,8.17,0.58,82.52,0.55,7.5,90.3,97.29,1.46,4.92,75.05,64.52,6.74,3.03,0.13,3,2.97,,10.13,0
Palatkacity,FL,,,583.95,9.9,35.52,44.28,36.91,0.22,6.41,0.97,0.16,1564.6,55.75,0.16,18.17,0.7,50.79,0.09,15.99,96.81,46.97,23.03,8.72,51.94,23.56,12.88,11.85,3.72,2,2.59,,40.75,0
Glendalecity,WI,79,29400,691.21,0.61,81.76,80.51,80.62,3.12,0.78,9.4,2.29,2347.5,41.94,1.87,9.5,1.08,80.49,1.48,8.24,89.2,96.38,3.38,3.15,74.66,69.41,6.71,2.57,0.37,3,1.85,,17.23,0
Massilloncity,OH,151,48244,314.98,3.99,65.81,70.63,68.94,0.05,1.35,1.22,0.03,2268.2,42.88,0.03,14.3,0.44,69.27,0.03,12.23,96.66,74.24,10,4.29,67.28,37.29,9.83,8.98,3.98,3,0.21,,30.64,0
Wenatcheecity,WA,,,346.09,1.63,67.08,69.09,76.87,2.86,4.2,6.28,1.95,3438.1,54.22,1.73,15.66,2.92,58.17,0.79,13.7,89.21,75.27,9.64,4.89,55.13,40.79,11.44,9.15,3.43,2,0.17,,25.4,0
Roxburytownship,NJ,27,64980,122.86,0.61,87.84,89.81,90.85,1.35,0.89,7.48,1.08,923.4,17.36,0.79,6.9,1.23,90.1,0.36,6.07,89.77,96.16,2.48,4.72,88.41,58.74,5.21,3.25,1.99,3,1.78,,13.81,0
Artesiacity,CA,,,1008.62,4.1,68.41,77.51,76.13,16.18,22.23,37.98,12.58,9248.8,58.14,8.7,11.25,15.02,58.81,5.21,9.25,43.12,80.52,14.03,17.45,56.42,30.08,7.2,6.62,1.43,2,1.17,,43.5,0
Cudahycity,WI,79,17975,434.52,1.96,73.97,74.16,76.74,0.66,1.77,3.39,0.62,3790.6,44.58,0.29,11.29,0.89,64.34,0.2,10.65,92.35,85.86,5.84,3.09,58.92,53.08,9.96,4.98,0.99,3,4.65,,23.2,0
Urbanacity,OH,,,177.83,1.88,69.54,72.06,78.56,0.44,1.62,0.86,0.39,1775,48.69,0.39,13.66,0.39,64.87,0.39,12.37,97.62,80.47,8.87,3.86,61.84,37.72,10.87,7.28,0.38,3,1.03,,26.21,0
Burlingtoncity,NC,,,224.33,3.99,64.03,68.08,69.5,0.31,1.77,1.32,0.25,1875.5,49.94,0.19,14.1,0.44,63.57,0.06,12.64,96.42,77.37,5.9,2.93,61.82,37.37,10.88,3.45,1.22,3,0.14,,29.67,0
Hendersoncity,NV,,,345.45,1.85,73.88,77.19,78.59,2.15,5.03,5.35,1.62,876.2,41.29,1.21,15.56,0.98,67.36,0.87,14.14,90.56,83.47,3.61,6.18,64.29,36.82,12.67,5.39,0.79,3,0.48,,17.51,0
Champlincity,MN,53,10846,106.05,1.01,87.39,88.5,90.03,0.27,1.62,1.2,0.24,1989.1,29.7,0.15,7.73,0.23,90.38,0.11,7.5,97.14,96.72,2.08,3.67,87.59,44.59,7.27,3.64,1.83,3,2.63,,8.53,0
Highlandcity,CA,,,941.34,5.07,62.7,68.33,67.72,5.75,11.39,11.57,4.01,2450.1,48.19,2.96,16.93,4.42,60.02,1.47,14.59,80.25,75.6,13.84,9.11,61.06,30.29,12.11,8.66,3.53,3,1,,25.62,0
Hyattsvillecity,MD,,,710.58,7.44,63.25,64.48,70.39,9.1,5.94,15.38,7.29,6251.8,57,4.37,14.67,2.48,55.24,3.12,13.61,83.52,77.42,4.11,6.84,50.48,39.08,12.42,5.13,1.71,2,18.42,,23.61,0
SouthBendcity,IN,,,745.11,6.06,58.94,63.04,67.11,1.11,2.45,3.36,0.98,2796.3,48.64,0.81,14.42,1.03,68.59,0.47,13,90.83,70.5,8.37,5.82,65.94,39.12,11.33,7.82,4.72,3,3.63,91.95,28.02,15.04
Stuartcity,FL,,,657.28,4.3,56.58,62.8,65.09,1.71,3.62,6.74,1.25,2619.8,77.62,0.7,14.05,1.27,64.1,0.47,13.55,92.11,82.46,5.94,3.36,64.48,50.45,12.95,4.98,1.36,2,0,,22.5,0
LighthousePointcity,FL,,,244.36,0.14,85.85,85.71,97.32,1.96,0.77,9.08,1.41,4367.8,53.45,0.63,10.32,1.35,86.31,0.45,10.23,89.29,100,2.4,1.73,83.77,63.47,10.12,4.36,12.66,2,0.89,,14.88,0
Southgatecity,MI,163,74960,803.12,0.97,77.41,80.05,80.11,0.73,2.02,5.55,0.69,4331.5,43.99,0.41,11.04,1.13,78.71,0.31,10.35,90.79,90.06,3.58,3.89,70.24,48.72,9.6,6.09,0.27,3,0.96,,26.23,0
Orangetown,CT,9,57600,438.8,0.17,89.65,92.04,89.65,1,0.32,7.29,0.72,720.5,9.62,0.49,5.19,0.8,94.2,0.19,4.6,89.76,98.88,1.83,3.21,94.03,69.94,3.98,3.18,4.88,3,1.64,,11.01,0
Moorestowntownship,NJ,5,47880,218.23,1.21,82.83,83.31,83.14,0.47,0.65,4.34,0.4,1053.1,23.12,0.12,8.78,0.7,83.79,0.1,7.51,92,91.28,2.21,3.81,79.47,66.06,6.02,3.03,4.17,3,2.89,,12.1,0
Rialtocity,CA,,,1046,5.08,68.69,73.99,72.71,6.24,11.55,12.96,4.96,3288.6,36.28,3.46,14.28,5.15,71.2,2.24,12.01,75.96,79.18,12.49,13.44,70.04,26.33,9.55,8.12,2.32,3,0.82,,26.81,0
Gastoniacity,NC,,,445.65,5.9,57.42,64.24,67.46,0.51,3.46,1.07,0.41,1739.3,50.11,0.2,14.8,0.4,59.56,0.12,13.37,97.1,66.6,9.19,4.48,58.23,29.87,11.66,5.3,3.05,2,0.87,,37.58,0
Irvingtontownship,NJ,13,34450,3912.1,14.4,45.93,51.36,55.83,9.89,10.14,19.71,7.31,19984.9,70.23,4.96,14.82,4.65,39.19,2.82,13.37,75.9,67.24,11.57,11.09,32.44,25.34,11.68,9.91,5.16,2,19.9,42.31,34.13,1.86
Hobokencity,NJ,17,32250,2006.8,8.88,52.81,58.31,63.67,6.39,6.17,16.8,4.67,25331.5,82.19,3.27,11.77,8.8,21.8,2.37,10.12,59.41,64.07,8.82,5.5,21.63,42.29,8.39,6.16,2.77,2,52.59,100,30.22,9.92
Harlingencity,TX,,,680.61,2.62,66.64,73.36,75.07,4.59,16.05,13.95,3.42,1747,57.55,2.42,11.98,11.13,60.03,1.69,9.72,35.19,81.39,13.61,13.45,59,30.19,7.1,9.65,6.92,2,0.14,,40.73,0
ColonialHeightscity,VA,570,18448,258.85,0.66,74.85,77.6,76.38,0.96,0.88,4.17,0.85,2077.6,31.9,0.39,12.48,0.46,73.68,0.32,10.73,93.63,92.57,3.08,2,72.15,48.61,8.68,3.93,0.44,3,0.3,,22.19,0
Oneidacity,NY,53,54837,116.21,2.54,71.04,72.73,80.41,0.11,1.32,1.84,0.11,475.5,45.46,0.11,12.58,0.75,65.66,0.11,11.45,95.53,73.39,7.29,4.21,58.84,40.16,10.08,4.31,1.91,3,1.01,,23.74,0
Charlottesvilledistrict,VA,3,90672,361.89,3.68,73.04,70.45,83.12,1.1,1.17,3.14,1.05,1046.9,49.22,1,14.78,0.24,52.19,0.7,12.09,97.33,81.56,3.09,1.98,46.87,52.78,8.74,3.2,0,3,2.21,,11.12,0
Clarksvilletown,IN,,,491.34,1.38,68.29,70.62,76.77,0.35,1.47,0.96,0.35,2254.8,50.48,0.32,16.64,0.64,62.43,0.17,14.76,97.43,80.12,4.89,2.87,56.59,40.87,12.44,5.79,2.42,2,0.38,,25.4,0
Clintontown,MA,27,14395,58.08,3.35,71.88,73.12,84.46,2.34,2.26,5.16,2.07,2237.7,56.38,1.46,12.19,2.65,56.33,0.49,11.27,86.78,77.73,7.66,4.34,52.44,38.43,10.24,5.35,2.54,2,0.05,,21.36,0
Chesterfieldcity,MO,,,74.6,0.51,90.52,91.05,91.88,2.13,0.4,5.94,1.73,1224.3,26.06,1.42,6.94,0.65,86.09,1.1,5.83,92.47,94.94,1.18,3.86,79.45,70.86,4.64,2.27,0.22,4,0.42,,7.08,0
Sayrevilleborough,NJ,23,65790,295.14,1.61,80.93,83.75,83.19,2.25,1.22,8.01,1.74,2092.8,44.28,1.05,8.41,1.19,76.48,0.62,7.41,85.27,92.44,3.02,3.76,71.32,49.01,6.32,4.04,2.68,3,8.87,,21.69,0
Genevacity,NY,69,28640,7.02,4.57,63.4,64.55,70.39,0.84,1.48,2.35,0.71,3231.1,46.94,0.59,11.15,1.09,60.26,0.27,9.49,91.01,74.38,8.22,3.88,54.56,43.56,7.58,6.81,2.16,3,0.5,,24.81,0
RoanokeRapidscity,NC,,,296.63,3.53,61.11,66.08,72.41,0.23,2.47,0.87,0.14,1953.5,45.03,0.09,13.8,0.4,63.77,0,11.96,97.24,65.25,10.58,3.25,62.27,32.61,9.71,6.92,0.72,3,0.19,,34.35,0
Dumascity,TX,,,7.21,0.69,79.84,83.6,86.26,4.07,7.82,9.74,3.1,2860.2,38.61,1.99,9.52,6.06,70.19,1.41,8.84,74.92,82.24,4.11,6.69,70.36,30.35,8.14,4.33,7.43,3,0.07,,34.22,0
Winchestertown,MA,17,80510,185.62,0.54,86.86,87.45,87.61,1.85,0.7,7.76,1.6,3239.4,25.08,1.19,7.1,0.61,82.09,0.93,5.88,90.4,91.11,2.47,4.45,78.99,68.06,4.48,3.64,2.88,3,8.84,,5.96,0
WisconsinRapidscity,WI,141,88200,86.52,2.51,73.11,72.32,74.98,0.64,1.58,1.54,0.55,1506.4,47.61,0.39,11.69,0.86,67.78,0.18,10.47,96.33,81.43,8.56,3.55,64.86,52.79,9.03,7.06,0.35,3,0,,21.56,0
Longviewcity,WA,,,354.96,2.29,65.86,68.67,78.18,1.1,3.21,3.46,0.83,2530.4,51.56,0.44,15.51,0.64,60.37,0.17,14.49,94.78,67.24,11.87,3.59,57.16,42.52,13.36,7.53,4.95,2,0.29,,22.09,0
Bellmawrborough,NJ,7,4750,153.95,1.68,72.34,75.49,78.33,0.55,2.76,3.47,0.3,4012.2,39.42,0.06,10.61,1.04,74.42,0,9.68,92.82,87.23,3.96,4.73,69.33,43.9,8.65,5.28,4.55,3,4.26,,32.12,0
ParadiseValleytown,AZ,,,294.39,0.19,89.75,92.18,92.79,2.35,0.19,6.1,2.18,739.6,6.17,1.59,7.02,1,95.78,1.16,6.42,92.57,98.38,2.3,3.63,95.37,70.94,5.79,3.36,1.16,4,0.48,,4.27,0
Lodicity,CA,,,599.78,2.8,69.23,71.73,72.18,4.55,8.64,10.49,3.67,4722.7,53.68,2.89,15.13,4.41,54.04,1.26,13.64,80.77,75.55,12.37,6.05,54.3,37.22,12.07,6.45,1.63,2,0.1,,27.68,0
Troycity,AL,,,99.26,8.36,52.95,60.15,62.35,1.06,3.67,1.64,0.73,533,47.99,0.66,9.86,0.2,58.29,0.66,8.55,95.42,57.63,14.47,5.5,54.95,29.09,6.92,7.55,0,3,0,,32.68,0
Stoughtontown,MA,21,67945,634.49,1.25,79.22,82.62,80.21,1.5,1.68,11.18,1.12,1611.4,37.94,1.06,9.46,3.16,78.56,0.76,8.04,84.21,93.37,5.09,5.7,73.2,45.54,6.47,5.81,2.22,3,5.98,,17.46,0
Holmdeltownship,NJ,25,32640,49.73,0.41,91.23,92.7,94.02,1.75,0.21,12.27,1.15,621.3,7.88,0.59,4.95,1.86,95.35,0.54,3.92,81.15,99.22,2.75,5.76,94.58,69.62,2.78,2.67,6.86,4,10.6,,12.06,0
NorthPlainfieldborough,NJ,35,53280,763.63,2.04,79.12,80.07,77.88,6.16,3.96,14.39,4.9,6512.1,52.08,2.58,11.01,3.75,64.05,1.48,9.68,78.5,93.11,2.99,5.13,58.79,53.33,8.25,3.76,0.23,2,5.04,,16.81,0
Beltoncity,MO,,,162.91,1.15,77.08,78.29,72.03,0.36,2.89,1.73,0.3,1445.1,38.93,0.21,14.59,0.45,68.24,0.18,12.66,96.21,93.49,3.95,4.64,68.95,33.58,10.53,5.53,0.22,3,0.28,,19.47,0
Warrensburgcity,MO,,,119.16,2.6,71.92,73.49,74.1,1.95,1.66,3.16,1.78,1780.8,58.66,1.57,7.18,0.32,46.83,1.19,6.09,94.28,85.07,5.9,2.43,42.32,46.16,4.94,8.12,1.09,2,0.23,,16,0
Richmondcity,IN,,,224.75,3.48,60.35,64.6,71.24,0.33,1.51,0.82,0.26,2032.8,51.66,0.19,15.68,0.49,60.5,0.12,14.1,96.92,66.41,10.61,3.33,58.76,36.55,12.17,8.5,5.28,2,1.32,,32,0
Merrillvilletown,IN,,,1028.78,1.26,80.84,83.38,82.26,0.36,1.8,6.97,0.26,848.2,32.82,0.19,8.63,1.55,80.05,0.09,8.03,85.98,95.31,3.97,4.63,73.61,46.24,7.36,4.15,0.32,3,1.78,,19.76,0
Yeadonborough,PA,45,86968,883.28,4.91,63.97,66.24,72.53,2.61,2.71,6.24,2.15,7175.4,38.79,1.71,13.33,0.75,71.47,0.69,11.7,92.88,80.2,7.23,4.85,64,34.48,9.62,5.26,1.78,3,23.44,,19.78,0
BellefontaineNeighborscity,MO,,,505,0.72,81.5,81.95,83.15,0.27,1.03,0.75,0.27,2401.5,45.55,0,7.85,0.06,92.63,0,6.85,96.67,95.16,3.35,2.86,92.75,55.24,5.68,5.01,0,3,1.46,,33.85,0
Stoningtontown,CT,11,73770,77.19,0.9,79.48,80.79,78.37,0.78,0.8,5.78,0.66,422.1,40.78,0.59,10.52,1.78,72.47,0.17,9.64,91.78,92.79,3.74,2.86,68.7,58.4,8.72,5,0.88,3,0.95,,19.73,0
SanFranciscocity,CA,,,1497.35,4.91,61.75,67.71,72.14,16.34,10.75,33.98,12.74,14962.8,75.09,8.75,13.18,12.52,40.1,5.81,11.9,57.59,79.31,10.42,10.29,34.52,47.42,10.61,6.2,3.94,2,34.88,83,21.98,6.19
Covinacity,CA,,,1252.59,2.17,66.71,70.72,75.63,7.2,8.34,15.92,5.44,6041.2,48.54,3.68,16.16,4.09,61.39,2.3,13.54,76.39,84.51,7.21,7.33,58.08,38.17,10.61,5.35,1.21,3,2.84,,17.52,0
Corvalliscity,OR,,,161.47,1.26,76.44,76.78,76.16,7.33,3.43,10.17,6.82,3343.1,54.08,5.81,10.49,1.68,48.46,4.51,8.21,88.43,85.25,3.83,3.03,43.22,54.07,6,5.52,2.66,2,1.56,,7.93,0
SantaFeSpringscity,CA,,,3292.81,5.43,60.6,71.46,65.92,10.31,18.9,24.01,6.92,1728.3,53.56,5.93,14.65,10.35,67.13,4.07,12.04,47.83,78.27,17.31,16.63,64.86,20.68,9.2,8.61,0.62,2,2.65,,40.94,0
Farmingtoncity,MI,125,27380,77.35,0.16,83.42,83.09,79.65,0.91,0.49,6.84,0.76,3665.7,49.29,0.76,10.87,0.69,73.62,0.76,10.05,94.68,94.32,2.86,1.89,63.51,69.45,8.99,4.82,0,3,0.93,,12.67,0
Winslowtownship,NJ,7,81740,315.76,4.23,74.56,79.37,74.87,0.6,2.32,2.43,0.6,503.3,32.29,0.38,11.92,1.06,84.44,0.19,9.94,93.57,90.87,4.41,6.36,81.86,35.16,7.88,5.37,4.89,3,6.02,,24.15,0
Meridentown,CT,9,46520,526.98,3.36,67.76,71.18,72.56,1.68,2.39,6.02,1.17,2417.9,52.47,0.92,13.21,3.36,63.9,0.53,11.51,79.92,78.61,6.44,3.85,60.55,46.43,9.59,5.13,1.64,2,0.75,99.06,27.41,4.27
SantaMonicacity,CA,,,2004.94,3.53,69.13,69.12,64.26,8.92,5.38,25.3,6.55,10143,81.69,4.6,18.43,4.65,34.14,2.89,16.26,72.69,87.94,4.76,4.22,27.51,48.27,13.78,4.81,6.64,2,5.41,91.85,12.51,3.73
Simsburytown,CT,3,68940,36.29,0.46,88.97,89.48,83.74,1.56,0.44,6.29,1.2,627.4,24.71,0.66,7.81,0.38,85.75,0.55,6.52,93.85,97.01,1.92,2.85,81.9,71.87,5.14,2.63,1.13,3,2.73,,5.48,0
Biddefordcity,ME,31,4860,156.62,2.44,69.46,70.92,75.64,0.84,1.46,4.77,0.77,666.1,50.02,0.6,11.48,1.33,53.41,0.34,10.2,64.17,72.84,8.9,2.93,48.76,38.34,8.66,6.33,2.28,2,1.32,,33.06,0
Oconomowoccity,WI,133,59250,210.6,0.55,83.81,83.57,86.43,0.41,0.93,1.94,0.07,1832.3,40.21,0.07,9.94,0.23,71.53,0.07,8.84,95.72,92.12,2.7,3.59,64.31,56.22,7.56,2.46,0.64,3,0.1,,15.88,0
PalmBaycity,FL,,,284.46,1.43,75.6,79.06,78.75,2.38,2.79,7.36,1.87,950.2,38.6,1.29,12.86,1.11,67.42,0.98,11.27,90,90.4,3.82,3.99,66.83,39.9,9.62,5.84,1.32,3,0.15,,17.89,0
Greshamcity,OR,,,848.81,2.14,74.5,76.07,77.84,1.98,2.85,5.11,1.78,2984.9,42.2,1.37,14.71,1.33,63.02,0.85,12.79,93.01,83.68,4.91,4,58.35,39.06,10.7,4.36,1.81,3,5.73,,16.35,0
Eriecity,PA,49,24000,347.22,5.55,58.68,62.32,65.73,0.42,2.13,2.32,0.31,4772.8,44.9,0.24,13.01,1.18,60.21,0.18,12.17,92.32,64.79,12.93,5.85,56.58,41.21,11.19,8.85,6.8,3,3.82,91.78,27.67,4.17
